,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
8243,9234853585,51107008,Above Benchmark,404,51107,White,NO,NO,NO
8244,9234823861,60480880,Well Below Benchmark,245,858478,White,YES,NO,NO
8245,9234843246,802407808,Above Benchmark,349,802407,White,YES,NO,NO
8246,9234979426,93408804,Below Benchmark,298,93408,White,NO,NO,NO
8247,9298836824,795407808,Above Benchmark,349,795407,White,NO,NO,NO
8248,9298341329,778108055,Below Benchmark,291,778108,White,NO,NO,NO
8249,9297374614,858404807,Below Benchmark,284,858404,White,YES,NO,NO
8250,9297613133,800406806,Well Below Benchmark,265,800406,White,YES,NO,NO
8251,9297511989,801102811,Well Below Benchmark,245,801102,White,YES,YES,NO
8252,9297454543,739402808,Well Below Benchmark,252,739407,White,NO,NO,NO
8253,9299858348,820407029,Above Benchmark,345,820407,White,NO,NO,NO
8254,9299778742,82040580,At Benchmark,328,820405,White,NO,NO,NO
8255,9299681825,806405888,Above Benchmark,364,806405,White,NO,NO,NO
8256,9299533716,770486806,Well Below Benchmark,263,770486,White,NO,NO,NO
8257,9296865187,89109005,Well Below Benchmark,249,89109,White,NO,NO,NO
8258,9296718966,820403802,At Benchmark,320,820403,White,NO,NO,NO
8259,9296398929,820407887,Above Benchmark,343,778108,White,NO,NO,NO
8260,9296345411,48483808,At Benchmark,329,48483,White,NO,NO,NO
8261,9296976887,875488808,Below Benchmark,283,875488,White,YES,NO,NO
8262,9296256967,20401803,Well Below Benchmark,272,20401,White,NO,NO,NO
8263,9296497591,819402807,Well Below Benchmark,259,819402,White,NO,NO,NO
8264,9295941917,93408885,Below Benchmark,302,93408,White,NO,NO,NO
8265,9295529235,829108808,Well Below Benchmark,257,829108,White,NO,NO,NO
8266,9292869922,820407873,At Benchmark,329,820407,White,NO,NO,YES
8267,9292733891,801102805,Well Below Benchmark,247,801102,White,YES,NO,NO
8268,9292766898,86488807,At Benchmark,317,86488,White,NO,NO,NO
8269,9292714171,802407803,At Benchmark,315,802407,White,NO,NO,NO
8270,9292389512,844407801,Well Below Benchmark,267,844407,White,YES,NO,NO
8271,9292261573,770486806,Well Below Benchmark,277,770486,White,YES,NO,NO
8272,9291852823,818402803,Above Benchmark,353,818402,White,YES,NO,NO
8273,9291622924,818402803,At Benchmark,314,818402,White,YES,NO,NO
8274,9291567649,801102834,At Benchmark,326,801102,White,YES,NO,NO
